order_id,order_date,province,city,sales_channel,customer_segment,product_category,product_name,units,unit_price_lkr,discount_pct,revenue_lkr,cost_lkr,profit_lkr,payment_method,delivery_days,customer_rating,returned,promotion
LM26-0052,2026-05-01,Western,Kalutara,Online,Consumer,Home,Air Fryer,2,24990,0.05,47481,35400,12081,Credit Card,8,3,No,App Exclusive
LM26-0053,2026-04-28,Uva,Monaragala,Mobile App,Consumer,Beauty,Hair Dryer,3,7990,0.15,20375,14100,6275,Digital Wallet,5,3,Yes,New Year
LM26-0054,2026-04-06,Western,Negombo,Store,Small Business,Sports,Dumbbell Set,1,15990,0,15990,9800,6190,Bank Transfer,0,5,No,None
LM26-0055,2026-01-23,Western,Kalutara,Mobile App,Consumer,Home,Air Fryer,1,24990,0.15,21242,17700,3542,Debit Card,5,4,No,Weekend Deal
LM26-0056,2026-01-16,Southern,Hambantota,Online,Small Business,Electronics,Wireless Earbuds,4,12990,0,51960,34112,17848,Debit Card,4,3,No,None
LM26-0057,2026-01-24,Southern,Galle,Mobile App,Consumer,Home,Table Lamp,4,5990,0,23960,12600,11360,Bank Transfer,8,4,No,None
LM26-0058,2026-01-07,Northern,Jaffna,Online,Consumer,Sports,Yoga Mat,4,4490,0.05,17062,8400,8662,Bank Transfer,2,4,No,New Year
LM26-0059,2026-02-04,Uva,Monaragala,Online,Consumer,Fashion,Running Shoes,3,10990,0.05,31322,18300,13022,Digital Wallet,4,4,No,App Exclusive
LM26-0060,2026-03-03,Central,Kandy,Online,Consumer,Home,Rice Cooker,2,13990,0,27980,18800,9180,Credit Card,4,3,No,None
LM26-0061,2026-01-05,Southern,Galle,Online,Corporate,Sports,Dumbbell Set,3,15990,0.1,43173,29400,13773,Credit Card,5,4,No,None
LM26-0062,2026-05-30,Uva,Monaragala,Mobile App,Consumer,Beauty,Hair Dryer,4,7990,0.1,28764,18800,9964,Cash on Delivery,9,3,No,New Year
LM26-0063,2026-04-25,Northern,Jaffna,Mobile App,Consumer,Fashion,Casual Shirt,4,4990,0.15,16966,9000,7966,Bank Transfer,2,4,No,App Exclusive
LM26-0064,2026-03-21,Sabaragamuwa,Kegalle,Mobile App,Consumer,Fashion,Casual Shirt,3,4990,0.05,14222,6750,7472,Debit Card,6,4,No,App Exclusive
LM26-0065,2026-02-09,Southern,Hambantota,Mobile App,Consumer,Sports,Yoga Mat,3,4490,0.2,10776,6300,4476,Credit Card,2,5,No,App Exclusive
LM26-0066,2026-03-21,Western,Negombo,Online,Consumer,Fashion,Running Shoes,3,10990,0.05,31322,18300,13022,Cash on Delivery,4,3,No,None
LM26-0067,2026-01-28,Central,Nuwara Eliya,Store,Consumer,Beauty,Skin Care Set,1,8990,0.05,8541,4400,4141,Cash on Delivery,0,4,Yes,None
LM26-0068,2026-06-07,Southern,Hambantota,Store,Consumer,Fashion,Casual Shirt,3,4990,0.05,14222,6750,7472,Digital Wallet,0,4,Yes,New Year
LM26-0069,2026-01-21,Western,Colombo,Mobile App,Consumer,Sports,Dumbbell Set,2,15990,0.05,30381,19600,10781,Debit Card,3,5,No,Weekend Deal
LM26-0070,2026-02-24,Northern,Kilinochchi,Store,Corporate,Beauty,Perfume,4,11990,0.15000000000000002,40766,27600,13166,Credit Card,0,,No,New Year
LM26-0071,2026-06-17,Uva,Monaragala,Store,Corporate,Home,Table Lamp,4,5990,0.25,17970,12600,5370,Cash on Delivery,0,5,No,New Year
LM26-0072,2026-03-27,Southern,Galle,Mobile App,Small Business,Home,Rice Cooker,2,13990,0.1,25182,18800,6382,Cash on Delivery,5,4,No,App Exclusive
LM26-0073,2026-01-28,Northern,Kilinochchi,Online,Small Business,Home,Air Fryer,2,24990,0,49980,35400,14580,Bank Transfer,4,5,No,None
LM26-0074,2026-06-16,Southern,Matara,Store,Consumer,Beauty,Hair Dryer,1,7990,0.15,6792,4700,2092,Credit Card,0,5,No,New Year
LM26-0075,2026-06-16,Uva,Monaragala,Store,Consumer,Beauty,Hair Dryer,1,7990,0.1,7191,4700,2491,Digital Wallet,0,5,No,Weekend Deal
LM26-0076,2026-06-01,Southern,Galle,Mobile App,Consumer,Sports,Dumbbell Set,3,15990,0.2,38376,29400,8976,Cash on Delivery,9,4,No,New Year
LM26-0077,2026-05-08,Western,Negombo,Online,Consumer,Home,Rice Cooker,3,13990,0.05,39872,28200,11672,Debit Card,8,,No,None
LM26-0078,2026-03-18,Central,Kandy,Online,Consumer,Fashion,Casual Shirt,4,4990,0.2,15968,9000,6968,Bank Transfer,2,,No,Weekend Deal
LM26-0079,2026-05-22,Western,Kalutara,Store,Consumer,Fashion,Casual Shirt,1,4990,0.05,4741,2250,2491,Bank Transfer,0,5,No,Weekend Deal
LM26-0080,2026-04-07,Eastern,Batticaloa,Store,Consumer,Electronics,Wireless Earbuds,1,12990,0,12990,8528,4462,Credit Card,0,5,No,None
LM26-0081,2026-02-24,North Western,Kurunegala,Store,Consumer,Beauty,Perfume,1,11990,0,11990,6900,5090,Digital Wallet,0,5,No,None
LM26-0082,2026-02-16,North Western,Puttalam,Store,Consumer,Beauty,Perfume,1,11990,0,11990,6900,5090,Cash on Delivery,0,4,No,None
LM26-0083,2026-01-17,Uva,Badulla,Store,Small Business,Beauty,Perfume,3,11990,0.15,30575,20700,9875,Digital Wallet,0,5,No,New Year
LM26-0084,2026-02-07,Western,Kalutara,Online,Consumer,Electronics,Wireless Earbuds,1,12990,0.15,11042,8528,2514,Debit Card,1,5,No,App Exclusive
LM26-0085,2026-03-20,Central,Nuwara Eliya,Store,Corporate,Beauty,Perfume,4,11990,0.05,45562,27600,17962,Credit Card,0,5,No,None
LM26-0086,2026-01-29,Southern,Matara,Store,Small Business,Electronics,Smart Watch,3,18990,0.05,54122,38064,16058,Cash on Delivery,0,4,No,Weekend Deal
LM26-0087,2026-03-11,Southern,Matara,Mobile App,Consumer,Electronics,Bluetooth Speaker,4,9990,0.2,31968,25792,6176,Digital Wallet,2,3,Yes,Weekend Deal
LM26-0088,2026-02-21,North Western,Kurunegala,Mobile App,Corporate,Electronics,Wireless Earbuds,4,12990,0.25,38970,34112,4858,Debit Card,7,3,No,Weekend Deal
LM26-0089,2026-06-14,Uva,Monaragala,Online,Small Business,Electronics,Smart Watch,1,18990,0.05,18041,12688,5353,Credit Card,7,3,No,Weekend Deal
LM26-0090,2026-02-27,Southern,Hambantota,Store,Small Business,Electronics,Bluetooth Speaker,3,9990,0.15,25475,19344,6131,Cash on Delivery,0,5,No,Weekend Deal
LM26-0091,2026-03-19,North Central,Polonnaruwa,Store,Small Business,Beauty,Perfume,4,11990,0.2,38368,27600,10768,Debit Card,0,5,No,New Year
LM26-0092,2026-03-01,North Western,Puttalam,Store,Consumer,Fashion,Running Shoes,1,10990,0,10990,6100,4890,Cash on Delivery,0,5,No,None
LM26-0093,2026-05-16,Western,Negombo,Online,Corporate,Sports,Yoga Mat,1,4490,0.05,4266,2100,2166,Bank Transfer,6,4,No,None
LM26-0094,2026-06-27,Southern,Hambantota,Mobile App,Consumer,Sports,Dumbbell Set,4,15990,0.05,60762,39200,21562,Bank Transfer,5,4,No,None
LM26-0095,2026-06-29,Central,Kandy,Store,Consumer,Sports,Yoga Mat,2,4490,0,8980,4200,4780,Bank Transfer,0,5,No,None
LM26-0096,2026-04-29,Western,Colombo,Mobile App,Consumer,Beauty,Perfume,3,11990,0.1,32373,20700,11673,Digital Wallet,5,5,No,New Year
LM26-0097,2026-04-15,North Central,Anuradhapura,Store,Consumer,Electronics,Bluetooth Speaker,4,9990,0.1,35964,25792,10172,Debit Card,0,4,No,App Exclusive
LM26-0098,2026-06-05,Western,Kalutara,Online,Corporate,Electronics,Bluetooth Speaker,1,9990,0.05,9491,6448,3043,Debit Card,7,2,Yes,None
LM26-0099,2026-06-04,Uva,Monaragala,Store,Corporate,Beauty,Perfume,1,11990,0.1,10791,6900,3891,Cash on Delivery,0,4,No,App Exclusive
LM26-0100,2026-02-26,Northern,Jaffna,Store,Consumer,Beauty,Hair Dryer,4,7990,0,31960,18800,13160,Cash on Delivery,0,5,No,None
LM26-0101,2026-02-04,Northern,Kilinochchi,Store,Corporate,Fashion,Running Shoes,2,10990,0.1,19782,12200,7582,Credit Card,0,5,No,New Year
LM26-0102,2026-03-15,Western,Colombo,Online,Consumer,Electronics,Wireless Earbuds,3,12990,0.05,37022,25584,11438,Debit Card,5,4,No,None
LM26-0103,2026-02-12,Central,Nuwara Eliya,Online,Consumer,Home,Table Lamp,1,5990,0.05,5691,3150,2541,Digital Wallet,3,4,No,App Exclusive
LM26-0104,2026-01-22,Western,Kalutara,Online,Corporate,Fashion,Backpack,1,7490,0.1,6741,3800,2941,Cash on Delivery,5,4,No,New Year
LM26-0105,2026-03-24,Western,Negombo,Store,Corporate,Sports,Dumbbell Set,4,15990,0.25,47970,39200,8770,Digital Wallet,0,5,No,App Exclusive
LM26-0106,2026-02-25,Northern,Jaffna,Mobile App,Small Business,Home,Table Lamp,3,5990,0.05,17072,9450,7622,Cash on Delivery,5,4,No,None
LM26-0107,2026-03-20,North Central,Anuradhapura,Online,Corporate,Sports,Yoga Mat,1,4490,0.1,4041,2100,1941,Debit Card,4,4,No,App Exclusive
LM26-0108,2026-03-05,North Western,Kurunegala,Online,Consumer,Electronics,Bluetooth Speaker,1,9990,0.2,7992,6448,1544,Bank Transfer,8,3,No,App Exclusive
LM26-0109,2026-03-31,North Western,Puttalam,Store,Consumer,Sports,Cricket Bat,1,12990,0,12990,7600,5390,Bank Transfer,0,5,No,None
LM26-0110,2026-06-18,North Western,Puttalam,Mobile App,Consumer,Sports,Yoga Mat,1,4490,0.05,4266,2100,2166,Bank Transfer,7,4,No,None
LM26-0111,2026-03-21,Eastern,Batticaloa,Online,Corporate,Sports,Dumbbell Set,4,15990,0.1,57564,39200,18364,Bank Transfer,9,4,No,None
LM26-0112,2026-01-12,Sabaragamuwa,Ratnapura,Online,Consumer,Fashion,Backpack,1,7490,0.1,6741,3800,2941,Debit Card,7,2,Yes,Weekend Deal
LM26-0113,2026-06-05,Sabaragamuwa,Kegalle,Mobile App,Consumer,Fashion,Casual Shirt,2,4990,0.05,9481,4500,4981,Cash on Delivery,3,5,No,App Exclusive
LM26-0114,2026-03-24,Eastern,Trincomalee,Store,Corporate,Electronics,Bluetooth Speaker,2,9990,0.25,14985,12896,2089,Cash on Delivery,0,5,No,Weekend Deal
LM26-0115,2026-06-01,Western,Colombo,Store,Consumer,Home,Rice Cooker,2,13990,0.1,25182,18800,6382,Debit Card,0,5,No,New Year
LM26-0116,2026-06-30,Western,Colombo,Store,Consumer,Sports,Cricket Bat,3,12990,0,38970,22800,16170,Digital Wallet,0,4,No,None
LM26-0117,2026-05-17,Western,Negombo,Store,Consumer,Sports,Dumbbell Set,2,15990,0.15,27183,19600,7583,Credit Card,0,5,No,App Exclusive
LM26-0118,2026-03-21,Sabaragamuwa,Kegalle,Store,Small Business,Home,Table Lamp,1,5990,0.05,5691,3150,2541,Cash on Delivery,0,5,No,Weekend Deal
LM26-0119,2026-03-04,Central,Nuwara Eliya,Store,Consumer,Sports,Dumbbell Set,4,15990,0.05,60762,39200,21562,Bank Transfer,0,4,No,None
LM26-0120,2026-01-07,Western,Negombo,Mobile App,Corporate,Electronics,Smart Watch,1,18990,0.25,14243,12688,1555,Bank Transfer,6,3,No,New Year
LM26-0121,2026-03-31,Central,Nuwara Eliya,Mobile App,Consumer,Fashion,Casual Shirt,3,4990,0.1,13473,6750,6723,Digital Wallet,3,4,No,Weekend Deal
LM26-0122,2026-06-27,Eastern,Batticaloa,Mobile App,Small Business,Electronics,Bluetooth Speaker,3,9990,0.15,25475,19344,6131,Debit Card,5,4,No,App Exclusive
LM26-0123,2026-03-31,Eastern,Trincomalee,Mobile App,Consumer,Fashion,Casual Shirt,3,4990,0,14970,6750,8220,Debit Card,6,4,No,None
LM26-0124,2026-05-23,Central,Kandy,Online,Small Business,Beauty,Skin Care Set,2,8990,0,17980,8800,9180,Cash on Delivery,9,3,No,None
LM26-0125,2026-02-11,North Central,Polonnaruwa,Store,Corporate,Fashion,Running Shoes,2,10990,0.2,17584,12200,5384,Credit Card,0,5,No,Weekend Deal
LM26-0126,2026-05-25,Southern,Matara,Store,Consumer,Beauty,Hair Dryer,2,7990,0.2,12784,9400,3384,Cash on Delivery,0,5,No,New Year
LM26-0127,2026-02-03,Western,Negombo,Mobile App,Corporate,Beauty,Hair Dryer,3,7990,0.15000000000000002,20375,14100,6275,Bank Transfer,7,4,No,App Exclusive
LM26-0128,2026-02-01,Central,Kandy,Store,Consumer,Sports,Dumbbell Set,4,15990,0.05,60762,39200,21562,Bank Transfer,0,5,No,None
LM26-0129,2026-02-14,Western,Negombo,Online,Consumer,Electronics,Wireless Earbuds,4,12990,0,51960,34112,17848,Credit Card,8,4,No,None
LM26-0130,2026-04-07,Uva,Badulla,Store,Consumer,Fashion,Backpack,3,7490,0,22470,11400,11070,Cash on Delivery,0,5,No,None
LM26-0131,2026-06-22,Central,Kandy,Mobile App,Small Business,Sports,Dumbbell Set,1,15990,0.2,12792,9800,2992,Cash on Delivery,4,4,No,App Exclusive
LM26-0132,2026-03-22,Central,Kandy,Online,Consumer,Beauty,Hair Dryer,4,7990,0.15,27166,18800,8366,Cash on Delivery,2,5,No,Weekend Deal
LM26-0133,2026-05-15,Western,Kalutara,Online,Consumer,Beauty,Skin Care Set,1,8990,0.2,7192,4400,2792,Digital Wallet,1,,No,New Year
LM26-0134,2026-06-23,Central,Matale,Store,Small Business,Home,Air Fryer,1,24990,0,24990,17700,7290,Credit Card,0,4,No,None
LM26-0135,2026-04-07,Southern,Matara,Mobile App,Consumer,Fashion,Backpack,3,7490,0.15,19100,11400,7700,Cash on Delivery,7,4,No,New Year
LM26-0136,2026-04-23,Sabaragamuwa,Kegalle,Store,Small Business,Fashion,Backpack,4,7490,0,29960,15200,14760,Credit Card,0,4,No,None
LM26-0137,2026-02-07,Central,Kandy,Online,Consumer,Home,Rice Cooker,2,13990,0.05,26581,18800,7781,Cash on Delivery,5,3,No,None
LM26-0138,2026-05-20,Western,Colombo,Online,Consumer,Home,Table Lamp,2,5990,0.1,10782,6300,4482,Cash on Delivery,3,4,No,App Exclusive
LM26-0139,2026-02-21,Sabaragamuwa,Kegalle,Store,Consumer,Fashion,Casual Shirt,4,4990,0.05,18962,9000,9962,Digital Wallet,0,,No,New Year
LM26-0140,2026-05-02,Southern,Galle,Online,Consumer,Home,Table Lamp,4,5990,0.2,19168,12600,6568,Cash on Delivery,3,4,No,App Exclusive
LM26-0141,2026-02-23,North Central,Anuradhapura,Store,Corporate,Beauty,Hair Dryer,2,7990,0.05,15181,9400,5781,Cash on Delivery,0,4,No,None
LM26-0142,2026-06-15,Northern,Jaffna,Store,Consumer,Fashion,Running Shoes,1,10990,0.15,9342,6100,3242,Digital Wallet,0,5,No,New Year
LM26-0143,2026-05-29,Central,Kandy,Mobile App,Consumer,Electronics,Wireless Earbuds,1,12990,0.2,10392,8528,1864,Cash on Delivery,7,4,No,App Exclusive
LM26-0144,2026-03-04,Central,Matale,Online,Small Business,Home,Air Fryer,2,24990,0.05,47481,35400,12081,Credit Card,5,4,No,None
LM26-0145,2026-03-25,Sabaragamuwa,Ratnapura,Store,Small Business,Electronics,Bluetooth Speaker,1,9990,0.2,7992,6448,1544,Credit Card,0,,No,New Year
LM26-0146,2026-05-07,Western,Colombo,Online,Small Business,Sports,Dumbbell Set,4,15990,0.2,51168,39200,11968,Credit Card,8,3,No,New Year
LM26-0147,2026-03-25,Central,Kandy,Online,Consumer,Beauty,Skin Care Set,3,8990,0.1,24273,13200,11073,Digital Wallet,4,3,Yes,Weekend Deal
LM26-0148,2026-01-28,Central,Nuwara Eliya,Mobile App,Small Business,Sports,Dumbbell Set,4,15990,0,63960,39200,24760,Credit Card,6,,No,None
LM26-0149,2026-02-22,Southern,Hambantota,Mobile App,Consumer,Electronics,Bluetooth Speaker,2,9990,0.15,16983,12896,4087,Digital Wallet,7,3,No,New Year
LM26-0150,2026-02-24,Western,Kalutara,Store,Corporate,Sports,Cricket Bat,4,12990,0.25,38970,30400,8570,Credit Card,0,5,No,New Year
LM26-0151,2026-05-06,Sabaragamuwa,Kegalle,Online,Consumer,Fashion,Backpack,1,7490,0,7490,3800,3690,Bank Transfer,3,3,Yes,None
LM26-0152,2026-01-25,Sabaragamuwa,Ratnapura,Online,Small Business,Sports,Cricket Bat,4,12990,0.05,49362,30400,18962,Cash on Delivery,7,3,No,New Year
LM26-0153,2026-02-21,North Central,Polonnaruwa,Online,Consumer,Home,Air Fryer,2,24990,0.2,39984,35400,4584,Digital Wallet,3,4,No,Weekend Deal
LM26-0154,2026-06-26,Western,Kalutara,Online,Corporate,Fashion,Backpack,4,7490,0.1,26964,15200,11764,Cash on Delivery,6,4,No,New Year
LM26-0155,2026-06-14,Southern,Hambantota,Store,Consumer,Sports,Dumbbell Set,3,15990,0.1,43173,29400,13773,Cash on Delivery,0,5,No,App Exclusive
LM26-0156,2026-06-11,Western,Negombo,Store,Small Business,Electronics,Smart Watch,2,18990,0.2,30384,25376,5008,Cash on Delivery,0,5,No,Weekend Deal
LM26-0157,2026-06-23,North Central,Polonnaruwa,Mobile App,Corporate,Home,Table Lamp,1,5990,0.1,5391,3150,2241,Bank Transfer,5,4,No,Weekend Deal
LM26-0158,2026-03-12,Southern,Galle,Mobile App,Consumer,Fashion,Running Shoes,2,10990,0.15,18683,12200,6483,Cash on Delivery,7,2,Yes,Weekend Deal
LM26-0159,2026-04-19,Central,Kandy,Mobile App,Consumer,Sports,Yoga Mat,3,4490,0.15,11450,6300,5150,Credit Card,8,3,No,App Exclusive
LM26-0160,2026-05-28,Eastern,Trincomalee,Mobile App,Small Business,Home,Air Fryer,3,24990,0.05,71222,53100,18122,Digital Wallet,4,5,No,New Year
LM26-0161,2026-05-26,Eastern,Batticaloa,Online,Consumer,Beauty,Hair Dryer,1,7990,0.05,7591,4700,2891,Digital Wallet,8,3,No,None
LM26-0162,2026-04-11,Western,Colombo,Online,Consumer,Electronics,Bluetooth Speaker,3,9990,0.05,28472,19344,9128,Bank Transfer,5,3,No,App Exclusive
LM26-0163,2026-02-25,Sabaragamuwa,Ratnapura,Online,Consumer,Home,Table Lamp,2,5990,0,11980,6300,5680,Digital Wallet,7,4,No,None
LM26-0164,2026-06-18,Central,Kandy,Store,Consumer,Sports,Yoga Mat,4,4490,0.05,17062,8400,8662,Digital Wallet,0,,No,Weekend Deal
LM26-0165,2026-01-01,Southern,Hambantota,Store,Consumer,Sports,Dumbbell Set,4,15990,0.1,57564,39200,18364,Debit Card,0,4,No,App Exclusive
LM26-0166,2026-01-30,Western,Kalutara,Online,Consumer,Sports,Yoga Mat,4,4490,0.2,14368,8400,5968,Credit Card,7,3,No,New Year
LM26-0167,2026-03-28,Central,Kandy,Mobile App,Corporate,Electronics,Smart Watch,2,18990,0.1,34182,25376,8806,Bank Transfer,7,4,No,None
LM26-0168,2026-05-13,Central,Nuwara Eliya,Store,Corporate,Home,Rice Cooker,2,13990,0.25,20985,18800,2185,Debit Card,0,5,No,App Exclusive
LM26-0169,2026-01-16,Western,Colombo,Store,Consumer,Sports,Cricket Bat,4,12990,0.1,46764,30400,16364,Cash on Delivery,0,5,No,App Exclusive
